	Vendor	Trip Distance (in Miles)	Trip Cost	Trip Time (in Minutes)
0	Taxi	22.62	$10.93 	39.0
1	Taxi	16.95	$21.19 	29.23
2	Taxi	15.5	$36.07 	26.73
3	Taxi	17.85	$30.06 	30.78
4	Taxi	19.7	$26.83 	33.97
5	Taxi	21.96	$17.52 	37.86
6	Taxi	13.29	$12.80 	22.91
7	Taxi	16.23	$21.03 	27.98
8	Taxi	32.89	$26.42 	56.71
9	Taxi	10.83	$31.29 	18.68
10	Taxi	13.5	$19.83 	23.28
11	Taxi	17.63	$16.16 	30.41
12	Taxi	20.27	$21.41 	34.96
13	Taxi	14.46	$25.14 	24.94
14	Taxi	8.92	$30.93 	15.38
15	Taxi	20.52	$26.86 	35.38
16	Taxi	20.67	$27.79 	35.65
17	Taxi	8.47	$2.22 	14.61
18	Taxi	22.26	$31.48 	38.39
19	Taxi	19.93	$18.89 	34.36
20	Taxi	18.51	$16.10 	31.91
21	Taxi	15.08	$28.29 	26.01
22	Taxi	18.38	$25.77 	31.69
23	Taxi	16.25	$14.69 	28.02
24	Taxi	18.79	$25.49 	32.41
25	Taxi	7.98	$13.22 	13.77
26	Taxi	2.89	$24.16 	4.99
27	Taxi	5.61	$26.26 	9.67
28	Taxi	12.92	$16.88 	22.28
29	Taxi	21.77	$22.64 	37.54
30	Taxi	24.14	$22.47 	41.62
31	Taxi	12.93	$11.66 	22.3
32	Taxi	19.06	$20.25 	32.86
33	Taxi	20.52	$23.04 	35.39
34	Taxi	15.3	$23.94 	26.38
35	Taxi	9.74	$30.17 	16.8
36	Taxi	14.96	$27.85 	25.8
37	Taxi	15.07	$27.33 	25.98
38	Taxi	17.84	$3.95 	30.76
39	Taxi	11.64	$31.24 	20.07
40	Taxi	10.72	$27.78 	18.48
41	Taxi	19.48	$29.68 	33.59
42	Taxi	17.17	$25.01 	29.6
43	Taxi	14.13	$26.65 	24.36
44	Taxi	24.36	$29.96 	42.01
45	Taxi	29.65	$15.93 	51.13
46	Taxi	16.84	$33.99 	29.03
47	Taxi	22.49	$22.80 	38.77
48	Taxi	13.58	$24.80 	23.41
49	Taxi	16.7	$22.62 	28.8
50	Taxi	14.32	$22.71 	24.7
51	Taxi	24.61	$22.10 	42.43
52	Taxi	9.41	$34.16 	16.23
53	Taxi	24.16	$12.54 	41.67
54	Taxi	23.22	$25.68 	40.03
55	Taxi	22.48	$16.44 	38.77
56	Taxi	19.8	$29.81 	34.14
57	Taxi	16.12	$22.81 	27.8
58	Taxi	19.7	$20.36 	33.97
59	Taxi	10.27	$29.01 	17.71
60	Taxi	16.89	$24.87 	29.12
61	Taxi	22.34	$31.50 	38.52
62	Taxi	11.69	$19.21 	20.16
63	Taxi	22.85	$19.06 	39.4
64	Taxi	9.14	$36.06 	15.77
65	Taxi	22.02	$35.99 	37.98
66	Taxi	25.11	$28.61 	43.29
67	Taxi	17.82	$17.16 	30.73
68	Taxi	14.51	$34.02 	25.03
69	Taxi	17.62	$13.67 	30.39
70	Taxi	25.19	$28.13 	43.43
71	Taxi	6.19	$17.30 	10.68
72	Taxi	23.65	$20.62 	40.79
73	Taxi	17.48	$29.10 	30.13
74	Taxi	8.15	$27.84 	14.05
75	Taxi	11.2	$39.20 	19.32
76	Taxi	13.65	$19.17 	23.55
77	Taxi	26.28	$24.90 	45.32
78	Taxi	9.87	$21.68 	17.01
79	Taxi	11.66	$19.76 	20.12
80	Taxi	21.25	$27.59 	36.64
81	Taxi	18.59	$39.76 	32.05
82	Taxi	20.32	$41.61 	35.04
83	Taxi	17.37	$12.74 	29.96
84	Taxi	15.11	$8.60 	26.06
85	Taxi	17.35	$19.60 	29.92
86	Taxi	19.32	$22.85 	33.31
87	Taxi	17.3	$20.82 	29.82
88	Taxi	15.37	$13.27 	26.5
89	Taxi	14.3	$30.98 	24.65
90	Taxi	17.68	$24.52 	30.48
91	Taxi	9.62	$37.09 	16.59
92	Taxi	8.16	$22.61 	14.06
93	Taxi	18.89	$17.34 	32.58
94	Taxi	24.81	$20.75 	42.78
95	Taxi	5.1	$25.02 	8.79
96	Taxi	19.69	$27.04 	33.95
97	Taxi	24.37	$23.28 	42.02
98	Taxi	11.71	$13.57 	20.2
99	Taxi	5.8	$21.30 	10.01
100	Taxi	26.65	$18.15 	45.95
101	Taxi	10.76	$25.93 	18.55
102	Taxi	20.18	$22.55 	34.8
103	Taxi	22.84	$19.42 	39.37
