	Vendor	Trip Distance (in Miles)	Trip Cost	Trip Time (in Minutes)
0	Taxi	15.42	$35.44 	26.59
1	Taxi	19.92	$54.07 	34.36
2	Taxi	15.33	$52.69 	26.44
3	Taxi	20.84	$36.35 	35.93
4	Taxi	12.33	$37.29 	21.27
5	Taxi	19.05	$52.53 	32.86
6	Taxi	18.49	$47.64 	31.89
7	Taxi	10.23	$34.98 	17.63
8	Taxi	17.34	$41.20 	29.9
9	Taxi	19.94	$47.05 	34.38
10	Taxi	15.38	$47.91 	26.52
11	Taxi	13.51	$48.14 	23.3
12	Taxi	8.73	$32.89 	15.05
13	Taxi	18.13	$51.73 	31.27
14	Taxi	17.98	$45.74 	31.0
15	Taxi	20.75	$46.32 	35.77
16	Taxi	10.21	$40.23 	17.61
17	Taxi	12.99	$23.33 	22.4
18	Taxi	16.63	$46.36 	28.68
19	Taxi	12.51	$47.09 	21.56
20	Taxi	14.65	$30.41 	25.26
21	Taxi	14.28	$50.26 	24.63
22	Taxi	19.78	$43.52 	34.11
23	Taxi	18.74	$32.04 	32.31
24	Taxi	13.5	$67.03 	23.28
25	Taxi	14.0	$15.62 	24.14
26	Taxi	14.44	$40.39 	24.9
27	Taxi	16.25	$47.85 	28.01
28	Taxi	15.23	$31.03 	26.27
29	Taxi	14.58	$33.57 	25.15
30	Taxi	15.34	$40.85 	26.44
31	Taxi	21.74	$54.06 	37.48
32	Taxi	13.7	$39.96 	23.63
33	Taxi	15.48	$38.68 	26.68
34	Taxi	17.32	$56.52 	29.87
35	Taxi	14.87	$15.01 	25.65
36	Taxi	5.94	$41.26 	10.25
37	Taxi	16.36	$29.72 	28.22
38	Taxi	16.3	$61.45 	28.11
39	Taxi	11.31	$38.95 	19.51
40	Taxi	17.14	$55.42 	29.56
41	Taxi	14.0	$31.51 	24.13
42	Taxi	19.45	$45.83 	33.55
43	Taxi	21.01	$23.15 	36.22
44	Taxi	15.94	$46.18 	27.48
45	Taxi	16.7	$65.37 	28.8
46	Taxi	12.84	$27.23 	22.14
47	Taxi	8.97	$24.66 	15.47
48	Taxi	17.25	$37.80 	29.75
49	Taxi	15.79	$53.10 	27.24
50	Taxi	18.0	$48.74 	31.04
51	Taxi	10.54	$37.37 	18.18
