	Vendor	Trip Distance (in Miles)	Trip Cost	Trip Time (in Minutes)
0	Taxi	12.39	$10.26	21.37
1	Taxi	12.79	$6.94	22.06
2	Taxi	20.83	$21.50	35.92
3	Taxi	14.49	$18.30	24.99
4	Taxi	18.25	$10.39	31.47
5	Taxi	29.32	$16.24	50.55
6	Taxi	10.42	$16.86	17.98
7	Taxi	20.4	$9.41	35.18
8	Taxi	7.66	$13.88	13.2
9	Taxi	12.39	$12.21	21.37
10	Taxi	22.49	$8.95	38.77
11	Taxi	25.04	$13.12	43.18
12	Taxi	9.16	$15.31	15.79
13	Taxi	4.6	$22.62	7.94
14	Taxi	20.38	$23.88	35.14
15	Taxi	3.72	$10.94	6.42
16	Taxi	17.58	$19.19	30.32
17	Taxi	6.26	$18.54	10.79
18	Taxi	1.13	$21.60	1.96
19	Taxi	29.17	$20.12	50.29
20	Taxi	18.75	$21.96	32.34
21	Taxi	23.92	$14.06	41.24
22	Taxi	21.18	$19.10	36.52
23	Taxi	21.47	$16.43	37.02
24	Taxi	23.98	$22.39	41.34
25	Taxi	5.66	$13.47	9.76
26	Taxi	11.94	$14.24	20.58
27	Taxi	21.07	$11.34	36.34
28	Taxi	18.38	$19.09	31.7
29	Taxi	4.29	$16.97	7.39
30	Taxi	6.07	$6.41	10.47
31	Taxi	17.73	$12.55	30.57
32	Taxi	16.22	$15.24	27.96
33	Taxi	17.74	$16.61	30.59
34	Taxi	7.13	$16.72	12.3
35	Taxi	20.23	$15.14	34.88
36	Taxi	8.76	$9.89	15.1
37	Taxi	12.03	$17.28	20.74
38	Taxi	11.25	$18.26	19.39
39	Taxi	11.21	$15.01	19.32
40	Taxi	15.16	$25.29	26.14
41	Taxi	1.74	$14.01	3.0
42	Taxi	19.53	$13.54	33.68
43	Taxi	23.15	$21.20	39.91
44	Taxi	19.52	$18.29	33.66
45	Taxi	10.34	$17.42	17.84
46	Taxi	12.64	$10.40	21.8
47	Taxi	21.44	$12.85	36.98
48	Taxi	4.32	$14.88	7.45
49	Taxi	14.56	$16.56	25.11
50	Taxi	19.86	$19.94	34.25
51	Taxi	15.71	$11.74	27.09
52	Taxi	13.48	$8.72	23.25
53	Taxi	8.99	$11.14	15.51
54	Taxi	8.2	$20.11	14.14
55	Taxi	26.26	$10.98	45.27
56	Taxi	8.15	$16.46	14.06
57	Taxi	16.64	$19.45	28.7
58	Taxi	0.08	$14.46	0.14
59	Taxi	23.75	$15.05	40.95
60	Taxi	5.66	$14.75	9.76
61	Taxi	19.88	$16.87	34.27
62	Taxi	10.82	$22.63	18.66
63	Taxi	18.64	$18.66	32.13
64	Taxi	20.63	$9.51	35.57
65	Taxi	25.84	$18.03	44.56
66	Taxi	13.53	$19.09	23.33
67	Taxi	8.69	$13.71	14.99
68	Taxi	14.53	$15.03	25.05
69	Taxi	11.92	$21.41	20.56
70	Taxi	3.28	$18.35	5.66
71	Taxi	17.42	$15.14	30.04
72	Taxi	19.42	$22.42	33.48
73	Taxi	6.99	$12.26	12.06
74	Taxi	20.27	$17.64	34.95
75	Taxi	20.99	$14.89	36.19
76	Taxi	29.15	$14.34	50.26
77	Taxi	20.4	$25.10	35.17
78	Taxi	10.35	$17.20	17.85
79	Taxi	23.6	$16.76	40.7
80	Taxi	18.63	$15.59	32.13
81	Taxi	19.56	$16.45	33.73
82	Taxi	30.06	$14.87	51.83
83	Taxi	16.94	$18.34	29.21
84	Taxi	13.47	$19.46	23.24
85	Taxi	12.27	$18.94	21.15
86	Taxi	19.86	$12.89	34.24
87	Taxi	21.34	$21.21	36.8
88	Taxi	19.57	$14.08	33.74
89	Taxi	19.0	$17.68	32.76
90	Taxi	18.51	$17.71	31.92
91	Taxi	12.91	$15.28	22.27
92	Taxi	15.42	$15.30	26.59
93	Taxi	13.27	$14.60	22.88
94	Taxi	12.27	$14.18	21.15
95	Taxi	9.05	$15.49	15.61
96	Taxi	15.4	$15.64	26.55
97	Taxi	2.86	$14.81	4.93
98	Taxi	14.92	$15.10	25.73
99	Taxi	17.06	$19.83	29.41
100	Taxi	12.85	$19.03	22.17
101	Taxi	14.52	$18.75	25.03
102	Taxi	18.83	$18.48	32.46
103	Taxi	24.0	$20.53	41.38
104	Taxi	6.35	$16.67	10.96
105	Taxi	3.71	$18.96	6.39
106	Taxi	17.42	$16.70	30.03
107	Taxi	14.56	$16.68	25.11
108	Taxi	18.49	$16.13	31.89
109	Taxi	9.97	$13.52	17.19
110	Taxi	6.31	$22.12	10.88
111	Taxi	5.9	$12.09	10.17
112	Taxi	6.33	$16.16	10.92
113	Taxi	9.04	$17.07	15.59
114	Taxi	13.8	$17.63	23.8
115	Taxi	5.83	$21.64	10.06
116	Taxi	1.25	$19.50	2.16
117	Taxi	23.95	$8.67	41.29
118	Taxi	18.28	$16.48	31.52
119	Taxi	12.37	$16.49	21.32
120	Taxi	7.81	$13.65	13.46
121	Taxi	2.03	$12.07	3.5
122	Taxi	4.14	$15.41	7.14
123	Taxi	10.89	$19.74	18.78
124	Taxi	17.39	$19.02	29.98
125	Taxi	10.46	$10.81	18.04
126	Taxi	26.0	$17.61	44.83
127	Taxi	13.98	$9.76	24.11
128	Taxi	7.41	$14.67	12.77
129	Taxi	14.14	$18.73	24.38
130	Taxi	6.44	$17.40	11.11
131	Taxi	16.52	$23.75	28.49
132	Taxi	17.42	$19.87	30.05
133	Taxi	12.72	$11.45	21.94
134	Taxi	24.18	$19.46	41.69
135	Taxi	21.57	$14.37	37.19
136	Taxi	15.97	$8.34	27.55
137	Taxi	21.85	$12.93	37.68
138	Taxi	13.01	$11.27	22.44
139	Taxi	16.63	$9.56	28.68
140	Taxi	11.31	$13.97	19.51
141	Taxi	1.14	$7.76	1.97
142	Taxi	15.4	$10.23	26.55
143	Taxi	20.57	$11.53	35.47
144	Taxi	16.37	$21.72	28.22
145	Taxi	17.37	$13.58	29.96
146	Taxi	11.43	$19.23	19.72
147	Taxi	4.33	$17.42	7.47
148	Taxi	9.04	$6.86	15.58
149	Taxi	26.8	$15.50	46.22
150	Taxi	25.92	$22.85	44.69
151	Taxi	16.07	$27.77	27.71
152	Taxi	22.34	$21.20	38.52
153	Taxi	6.75	$16.76	11.65
154	Taxi	6.64	$16.33	11.46
155	Taxi	11.48	$14.43	19.81
156	Taxi	13.59	$14.77	23.44
157	Taxi	17.71	$21.53	30.53
158	Taxi	23.74	$22.70	40.94
159	Taxi	16.06	$11.44	27.7
160	Taxi	19.78	$29.29	34.1
161	Taxi	24.92	$12.04	42.97
162	Taxi	13.54	$11.89	23.36
163	Taxi	20.25	$20.18	34.92
164	Taxi	27.42	$14.47	47.28
165	Taxi	8.06	$11.09	13.9
166	Taxi	22.34	$9.25	38.53
167	Taxi	14.42	$17.03	24.87
168	Taxi	13.61	$15.09	23.47
169	Taxi	23.78	$13.03	41.0
170	Taxi	15.14	$21.91	26.11
171	Taxi	11.45	$15.08	19.75
172	Taxi	27.83	$16.37	47.98
173	Taxi	11.43	$14.54	19.72
174	Taxi	15.48	$17.08	26.69
175	Taxi	13.73	$9.97	23.68
176	Taxi	6.26	$14.21	10.8
177	Taxi	23.7	$22.59	40.86
178	Taxi	14.84	$10.49	25.59
179	Taxi	16.56	$21.94	28.55
180	Taxi	20.53	$14.84	35.4
181	Taxi	19.83	$19.33	34.19
182	Taxi	16.37	$19.26	28.23
183	Taxi	11.5	$15.56	19.84
184	Taxi	11.81	$22.49	20.36
185	Taxi	23.84	$22.55	41.11
186	Taxi	15.35	$19.54	26.47
187	Taxi	10.05	$15.40	17.33
188	Taxi	13.79	$10.73	23.78
189	Taxi	7.92	$16.34	13.66
190	Taxi	20.4	$14.79	35.18
191	Taxi	10.26	$14.02	17.7
192	Taxi	13.32	$21.31	22.96
193	Taxi	14.6	$13.76	25.17
194	Taxi	17.83	$18.84	30.75
195	Taxi	5.09	$20.18	8.78
196	Taxi	8.5	$20.11	14.66
197	Taxi	13.93	$13.97	24.02
198	Taxi	16.33	$18.68	28.16
199	Taxi	14.81	$15.60	25.53
200	Taxi	10.14	$17.03	17.49
201	Taxi	20.59	$15.39	35.51
202	Taxi	17.28	$18.85	29.8
203	Taxi	11.9	$16.60	20.52
204	Taxi	17.0	$7.16	29.32
205	Taxi	20.18	$23.86	34.79
206	Taxi	24.58	$18.30	42.38
207	Taxi	9.72	$15.59	16.76
208	Taxi	10.97	$13.88	18.92
209	Taxi	23.85	$13.18	41.12
210	Taxi	7.83	$17.12	13.5
211	Taxi	25.13	$8.68	43.32
212	Taxi	16.35	$13.35	28.19
213	Taxi	16.0	$13.55	27.59
214	Taxi	29.82	$21.52	51.41
215	Taxi	12.96	$15.56	22.34
216	Taxi	17.98	$19.85	31.0
217	Taxi	11.28	$20.33	19.45
218	Taxi	0.99	$16.10	1.72
219	Taxi	21.32	$20.86	36.77
220	Taxi	10.13	$11.97	17.47
221	Taxi	12.11	$13.05	20.88
222	Taxi	12.71	$14.79	21.92
223	Taxi	15.81	$13.33	27.27
224	Taxi	19.17	$20.79	33.06
225	Taxi	13.58	$23.85	23.42
226	Taxi	11.27	$10.20	19.44
227	Taxi	15.65	$13.08	26.99
228	Taxi	3.52	$12.09	6.07
229	Taxi	24.68	$11.72	42.55
230	Taxi	13.34	$13.76	23.0
231	Taxi	20.13	$10.88	34.7
232	Taxi	14.99	$22.72	25.86
233	Taxi	20.77	$18.00	35.81
234	Taxi	17.38	$11.02	29.97
235	Taxi	15.69	$18.64	27.06
236	Taxi	8.01	$11.79	13.81
237	Taxi	14.89	$15.53	25.67
238	Taxi	24.76	$17.62	42.7
239	Taxi	17.05	$14.35	29.4
240	Taxi	5.71	$13.74	9.86
241	Taxi	18.04	$10.06	31.11
242	Taxi	16.74	$22.50	28.86
243	Taxi	35.73	$17.25	61.61
